annee_numero_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;boule1;boule2;boule3;boule4;boule5;boule6;boule7;boule8;boule9;boule10;boule11;boule12;boule13;boule14;boule15;boule16;boule17;boule18;boule19;boule20;multiplicateur;numero_jokerplus;devise;
2022616;04/11/2022;soir;04/01/2023;1;3;6;7;9;13;17;18;21;23;31;34;40;44;45;47;48;54;61;67;2;6 872 057;eur;
2022615;04/11/2022;midi;04/01/2023;1;18;19;23;27;28;29;31;32;33;36;42;44;46;49;53;61;63;66;67;2;8 956 690;eur;
2022614;03/11/2022;soir;03/01/2023;7;8;14;17;19;20;21;34;35;36;38;45;46;48;49;50;60;64;65;67;2;0 086 088;eur;
2022613;03/11/2022;midi;03/01/2023;11;12;14;16;20;21;29;30;36;41;44;47;50;52;57;58;60;61;63;69;2;2 319 671;eur;
2022612;02/11/2022;soir;02/01/2023;1;9;11;12;13;16;20;23;25;31;39;41;46;48;49;50;55;60;66;69;3;7 228 007;eur;
2022611;02/11/2022;midi;02/01/2023;1;11;13;17;18;19;24;30;36;38;40;43;46;48;49;52;57;59;60;68;2;8 765 466;eur;
2022610;01/11/2022;soir;01/01/2023;5;6;11;16;21;23;30;36;37;39;50;51;55;57;59;60;63;65;66;68;2;8 498 257;eur;
2022609;01/11/2022;midi;01/01/2023;6;8;9;13;19;20;23;29;35;36;37;40;46;48;53;54;56;57;60;63;2;0 239 889;eur;
2022608;31/10/2022;soir;31/12/2022;1;4;16;17;21;22;23;24;31;39;40;43;45;53;58;59;61;63;68;69;3;7 587 562;eur;
2022607;31/10/2022;midi;31/12/2022;1;2;8;12;13;19;20;24;26;27;28;29;30;34;35;44;45;46;49;59;2;7 601 553;eur;
2022606;30/10/2022;soir;30/12/2022;2;10;11;13;23;27;28;29;37;42;44;46;47;52;54;55;56;64;65;68;2;8 861 769;eur;
2022605;30/10/2022;midi;30/12/2022;1;8;11;13;14;21;23;25;35;38;41;42;43;44;48;49;52;53;63;69;3;6 995 603;eur;
2022604;29/10/2022;soir;29/12/2022;1;2;3;5;6;7;11;12;14;20;26;31;32;33;42;48;50;53;54;58;2;7 068 701;eur;
2022603;29/10/2022;midi;29/12/2022;5;18;19;20;25;29;33;34;37;38;41;43;44;48;49;51;56;65;68;69;2;6 132 064;eur;
