DateTime	Arg12b1f	ENI0122B1V1	ENI0122B2V1
03/02/2022 08:22		35.7	42.8
03/02/2022 08:22	36.2		
03/02/2022 08:27	31	29.9	0
03/02/2022 08:32	20		
03/02/2022 08:32		18.2	
03/02/2022 08:32			24
03/02/2022 08:37	15.9		
03/02/2022 08:37			16.2
03/02/2022 08:37		18.2	
03/02/2022 08:42	15.9		
03/02/2022 08:42		13.9	
03/02/2022 08:42			11.5
03/02/2022 08:47	11		
03/02/2022 08:47			12
03/02/2022 08:47		12	
03/02/2022 08:52		6.1	
03/02/2022 08:52			7.8
03/02/2022 08:53	6.1		
03/02/2022 08:57		6.2	6.4
03/02/2022 08:59	6.4		
03/02/2022 09:02		3.7	5.4
03/02/2022 09:04	3.8		
03/02/2022 09:07		7	6.9
03/02/2022 09:10	6.3		
03/02/2022 09:12		5.2	
03/02/2022 09:12			5.2
03/02/2022 09:15	3.7		
03/02/2022 09:18			4.2
03/02/2022 09:18		3.2	
03/02/2022 09:20	3.4		
03/02/2022 09:23		3.6	4.6
03/02/2022 09:25	3.8		
03/02/2022 09:28			7.4
03/02/2022 09:28		4	
03/02/2022 09:30	6.2		
03/02/2022 09:33			6.2
03/02/2022 09:33		9.8	
03/02/2022 09:35	4.7		
03/02/2022 09:38			9.3
03/02/2022 09:38		9.9	
03/02/2022 09:40	9.3		
03/02/2022 09:43			12.3
03/02/2022 09:43		7.7	
03/02/2022 09:45	9.6		
03/02/2022 09:48			10.1
03/02/2022 09:48		6.8	
03/02/2022 09:50	6		
03/02/2022 09:53			7.2
03/02/2022 09:53		6.6	
03/02/2022 09:56	5.9		
03/02/2022 09:58			11.9
03/02/2022 09:58		8	
03/02/2022 10:00	9.3		
03/02/2022 10:03			9.8
03/02/2022 10:03		8.4	
03/02/2022 10:05	8.3		
03/02/2022 10:08			12.5
03/02/2022 10:08		7.2	
03/02/2022 10:10	10.1		
03/02/2022 10:13			9.2
03/02/2022 10:13		9.5	
03/02/2022 10:16	10.1		
03/02/2022 10:18			10.7
03/02/2022 10:18		10.1	
03/02/2022 10:21	10.4		
03/02/2022 10:23			10.9
03/02/2022 10:23		9.1	
03/02/2022 10:26	12.2		
03/02/2022 10:29			11.5
03/02/2022 10:29		9.2	
03/02/2022 10:31	8.6		
03/02/2022 10:34			9.9
03/02/2022 10:34		7.4	
03/02/2022 10:36	8.6		
03/02/2022 10:39			10.2
03/02/2022 10:39		7.7	
03/02/2022 10:41	7.5		
03/02/2022 10:44			10.3
03/02/2022 10:44		9.5	
03/02/2022 10:46	11.2		
